decision,simulation,incremental_profit_usd,roi
Servicios de regulacion,1528,-14540.93,-0.5193
Hibrido certificado,1528,-159776.1,-1.1413
Ventana conservadora,1529,67922.45,3.7735
Arbitraje agresivo,1529,-32319.86,-0.3402
Servicios de regulacion,1529,-18135.99,-0.6477
Hibrido certificado,1529,-95460.08,-0.6819
Ventana conservadora,1530,49107.75,2.7282
Arbitraje agresivo,1530,-66288.34,-0.6978
Servicios de regulacion,1530,-22389.84,-0.7996
Hibrido certificado,1530,-137867.21,-0.9848
Ventana conservadora,1531,40662.77,2.259
Arbitraje agresivo,1531,-50063.33,-0.527
Servicios de regulacion,1531,-23838.99,-0.8514
Hibrido certificado,1531,-114086.07,-0.8149
Ventana conservadora,1532,63505.42,3.5281
Arbitraje agresivo,1532,-16749.62,-0.1763
Servicios de regulacion,1532,-24130.67,-0.8618
Hibrido certificado,1532,-108215.0,-0.773
Ventana conservadora,1533,48747.45,2.7082
Arbitraje agresivo,1533,-59066.76,-0.6218
Servicios de regulacion,1533,-19208.27,-0.686
Hibrido certificado,1533,-6372.77,-0.0455
Ventana conservadora,1534,44657.98,2.481
Arbitraje agresivo,1534,-61089.34,-0.643
Servicios de regulacion,1534,-18564.25,-0.663
Hibrido certificado,1534,-156864.73,-1.1205
Ventana conservadora,1535,56657.0,3.1476
Arbitraje agresivo,1535,-16341.81,-0.172
Servicios de regulacion,1535,-22907.97,-0.8181
Hibrido certificado,1535,-73995.58,-0.5285
Ventana conservadora,1536,67584.01,3.7547
Arbitraje agresivo,1536,-27846.88,-0.2931
Servicios de regulacion,1536,-23170.84,-0.8275
Hibrido certificado,1536,-116932.17,-0.8352
Ventana conservadora,1537,49293.72,2.7385
Arbitraje agresivo,1537,-33725.15,-0.355
Servicios de regulacion,1537,-12590.39,-0.4497
Hibrido certificado,1537,-113436.69,-0.8103
Ventana conservadora,1538,58503.72,3.2502
Arbitraje agresivo,1538,-36038.0,-0.3793
Servicios de regulacion,1538,-22795.69,-0.8141
Hibrido certificado,1538,-132712.51,-0.9479
Ventana conservadora,1539,47528.68,2.6405
Arbitraje agresivo,1539,-39790.4,-0.4188
Servicios de regulacion,1539,-13893.71,-0.4962
Hibrido certificado,1539,32669.81,0.2334
Ventana conservadora,1540,52497.65,2.9165
Arbitraje agresivo,1540,-6394.93,-0.0673
Servicios de regulacion,1540,-21937.59,-0.7835
Hibrido certificado,1540,-170441.56,-1.2174
Ventana conservadora,1541,52236.89,2.902
Arbitraje agresivo,1541,-16933.91,-0.1783
Servicios de regulacion,1541,-18799.87,-0.6714
Hibrido certificado,1541,-135527.09,-0.9681
Ventana conservadora,1542,45968.41,2.5538
Arbitraje agresivo,1542,57.96,0.0006
Servicios de regulacion,1542,-14114.08,-0.5041
Hibrido certificado,1542,-136469.07,-0.9748
Ventana conservadora,1543,63838.1,3.5466
Arbitraje agresivo,1543,-42385.84,-0.4462
Servicios de regulacion,1543,-16029.52,-0.5725
Hibrido certificado,1543,-97452.43,-0.6961
Ventana conservadora,1544,47966.05,2.6648
Arbitraje agresivo,1544,-26774.63,-0.2818
Servicios de regulacion,1544,-22903.88,-0.818
Hibrido certificado,1544,-114718.05,-0.8194
Ventana conservadora,1545,58726.08,3.2626
Arbitraje agresivo,1545,-82130.15,-0.8645
Servicios de regulacion,1545,-18980.43,-0.6779
Hibrido certificado,1545,-133645.32,-0.9546
Ventana conservadora,1546,42217.64,2.3454
Arbitraje agresivo,1546,-41964.66,-0.4417
Servicios de regulacion,1546,-19760.78,-0.7057
Hibrido certificado,1546,-139813.86,-0.9987
Ventana conservadora,1547,57398.57,3.1888
Arbitraje agresivo,1547,-58910.17,-0.6201
Servicios de regulacion,1547,-26453.86,-0.9448
Hibrido certificado,1547,-117341.73,-0.8382
Ventana conservadora,1548,64602.2,3.589
Arbitraje agresivo,1548,-43285.03,-0.4556
Servicios de regulacion,1548,-23654.06,-0.8448
Hibrido certificado,1548,-138242.14,-0.9874
Ventana conservadora,1549,53825.63,2.9903
Arbitraje agresivo,1549,-34842.16,-0.3668
Servicios de regulacion,1549,-22514.41,-0.8041
Hibrido certificado,1549,-168962.15,-1.2069
Ventana conservadora,1550,57372.86,3.1874
Arbitraje agresivo,1550,13942.86,0.1468
Servicios de regulacion,1550,-24968.31,-0.8917
Hibrido certificado,1550,1787616.98,12.7687
Ventana conservadora,1551,54097.82,3.0054
Arbitraje agresivo,1551,-70852.39,-0.7458
Servicios de regulacion,1551,-18879.19,-0.6743
Hibrido certificado,1551,-129899.12,-0.9279
Ventana conservadora,1552,73282.45,4.0712
Arbitraje agresivo,1552,-63137.87,-0.6646
Servicios de regulacion,1552,-19634.77,-0.7012
Hibrido certificado,1552,-131903.73,-0.9422
Ventana conservadora,1553,68858.77,3.8255
Arbitraje agresivo,1553,8589.66,0.0904
Servicios de regulacion,1553,-22315.26,-0.797
Hibrido certificado,1553,-33825.05,-0.2416
Ventana conservadora,1554,45327.83,2.5182
Arbitraje agresivo,1554,-33530.96,-0.353
Servicios de regulacion,1554,-17200.71,-0.6143
Hibrido certificado,1554,-93013.76,-0.6644
Ventana conservadora,1555,60919.91,3.3844
Arbitraje agresivo,1555,-19458.18,-0.2048
Servicios de regulacion,1555,-22028.68,-0.7867
Hibrido certificado,1555,-157527.71,-1.1252
Ventana conservadora,1556,50934.09,2.8297
Arbitraje agresivo,1556,-63161.51,-0.6649
Servicios de regulacion,1556,-19391.77,-0.6926
Hibrido certificado,1556,-144128.61,-1.0295
Ventana conservadora,1557,50142.57,2.7857
Arbitraje agresivo,1557,-45710.0,-0.4812
Servicios de regulacion,1557,-22987.83,-0.821
Hibrido certificado,1557,-123888.86,-0.8849
Ventana conservadora,1558,57289.52,3.1828
Arbitraje agresivo,1558,-56155.4,-0.5911
Servicios de regulacion,1558,-17965.67,-0.6416
Hibrido certificado,1558,-143099.49,-1.0221
Ventana conservadora,1559,63688.42,3.5382
Arbitraje agresivo,1559,46537.3,0.4899
Servicios de regulacion,1559,-20070.52,-0.7168
Hibrido certificado,1559,-138808.81,-0.9915
Ventana conservadora,1560,60092.24,3.3385
Arbitraje agresivo,1560,25255.88,0.2659
Servicios de regulacion,1560,-21361.3,-0.7629
Hibrido certificado,1560,-117762.97,-0.8412
Ventana conservadora,1561,46869.42,2.6039
Arbitraje agresivo,1561,-48031.27,-0.5056
Servicios de regulacion,1561,-13285.96,-0.4745
Hibrido certificado,1561,-150006.69,-1.0715
Ventana conservadora,1562,55105.84,3.0614
Arbitraje agresivo,1562,-67446.48,-0.71
Servicios de regulacion,1562,-21091.06,-0.7533
Hibrido certificado,1562,-132066.43,-0.9433
Ventana conservadora,1563,51897.35,2.8832
Arbitraje agresivo,1563,-7008.46,-0.0738
Servicios de regulacion,1563,-15795.5,-0.5641
Hibrido certificado,1563,-101252.36,-0.7232
Ventana conservadora,1564,57502.58,3.1946
Arbitraje agresivo,1564,-44403.09,-0.4674
Servicios de regulacion,1564,-13688.75,-0.4889
Hibrido certificado,1564,-109292.7,-0.7807
Ventana conservadora,1565,37737.97,2.0966
Arbitraje agresivo,1565,-14761.87,-0.1554
Servicios de regulacion,1565,-16659.52,-0.595
Hibrido certificado,1565,-161100.46,-1.1507
Ventana conservadora,1566,67813.65,3.7674
Arbitraje agresivo,1566,-71033.64,-0.7477
Servicios de regulacion,1566,-27537.1,-0.9835
Hibrido certificado,1566,-134070.28,-0.9576
Ventana conservadora,1567,51146.27,2.8415
Arbitraje agresivo,1567,-2934.94,-0.0309
Servicios de regulacion,1567,-16423.88,-0.5866
Hibrido certificado,1567,-106842.6,-0.7632
Ventana conservadora,1568,54782.14,3.0435
Arbitraje agresivo,1568,-40956.34,-0.4311
Servicios de regulacion,1568,-23852.76,-0.8519
Hibrido certificado,1568,-129692.03,-0.9264
Ventana conservadora,1569,59183.24,3.288
Arbitraje agresivo,1569,-32444.74,-0.3415
Servicios de regulacion,1569,-13782.33,-0.4922
Hibrido certificado,1569,-94910.21,-0.6779
Ventana conservadora,1570,52661.94,2.9257
Arbitraje agresivo,1570,-75835.97,-0.7983
Servicios de regulacion,1570,-20295.45,-0.7248
Hibrido certificado,1570,-154705.88,-1.105
Ventana conservadora,1571,50000.44,2.7778
Arbitraje agresivo,1571,-45617.67,-0.4802
Servicios de regulacion,1571,-15489.49,-0.5532
Hibrido certificado,1571,-126231.77,-0.9017
Ventana conservadora,1572,52948.33,2.9416
Arbitraje agresivo,1572,17850.25,0.1879
Servicios de regulacion,1572,-9562.19,-0.3415
Hibrido certificado,1572,-143447.39,-1.0246
Ventana conservadora,1573,50333.59,2.7963
Arbitraje agresivo,1573,-46550.63,-0.49
Servicios de regulacion,1573,-18198.63,-0.65
Hibrido certificado,1573,-113430.98,-0.8102
Ventana conservadora,1574,60538.7,3.3633
Arbitraje agresivo,1574,-67124.46,-0.7066
Servicios de regulacion,1574,-15277.63,-0.5456
Hibrido certificado,1574,-121798.18,-0.87
Ventana conservadora,1575,53672.69,2.9818
Arbitraje agresivo,1575,-40695.09,-0.4284
Servicios de regulacion,1575,-18494.72,-0.6605
Hibrido certificado,1575,-125506.02,-0.8965
Ventana conservadora,1576,48813.46,2.7119
Arbitraje agresivo,1576,1722.92,0.0181
Servicios de regulacion,1576,-17050.49,-0.6089
Hibrido certificado,1576,-170378.24,-1.217
Ventana conservadora,1577,56547.99,3.1416
Arbitraje agresivo,1577,-86475.1,-0.9103
Servicios de regulacion,1577,-17279.94,-0.6171
Hibrido certificado,1577,-123042.37,-0.8789
Ventana conservadora,1578,67483.61,3.7491
Arbitraje agresivo,1578,-9817.57,-0.1033
Servicios de regulacion,1578,-24221.43,-0.8651
Hibrido certificado,1578,-58976.92,-0.4213
Ventana conservadora,1579,50461.45,2.8034
Arbitraje agresivo,1579,-37452.43,-0.3942
Servicios de regulacion,1579,-16840.37,-0.6014
Hibrido certificado,1579,-149566.07,-1.0683
Ventana conservadora,1580,55130.01,3.0628
Arbitraje agresivo,1580,-78080.42,-0.8219
Servicios de regulacion,1580,-18827.59,-0.6724
Hibrido certificado,1580,14482.38,0.1034
Ventana conservadora,1581,58427.11,3.246
Arbitraje agresivo,1581,26357.35,0.2774
Servicios de regulacion,1581,-20452.43,-0.7304
Hibrido certificado,1581,-147668.29,-1.0548
Ventana conservadora,1582,65976.96,3.6654
Arbitraje agresivo,1582,-35180.16,-0.3703
Servicios de regulacion,1582,-20584.64,-0.7352
Hibrido certificado,1582,-120294.63,-0.8592
Ventana conservadora,1583,65948.94,3.6638
Arbitraje agresivo,1583,-29795.36,-0.3136
Servicios de regulacion,1583,-13627.1,-0.4867
Hibrido certificado,1583,-158885.91,-1.1349
Ventana conservadora,1584,64372.51,3.5763
Arbitraje agresivo,1584,-20728.66,-0.2182
Servicios de regulacion,1584,-13630.27,-0.4868
Hibrido certificado,1584,-168826.51,-1.2059
Ventana conservadora,1585,52970.62,2.9428
Arbitraje agresivo,1585,-61962.65,-0.6522
Servicios de regulacion,1585,-20537.85,-0.7335
Hibrido certificado,1585,-107122.64,-0.7652
Ventana conservadora,1586,45153.35,2.5085
Arbitraje agresivo,1586,-39476.26,-0.4155
Servicios de regulacion,1586,-19884.9,-0.7102
Hibrido certificado,1586,-114244.66,-0.816
Ventana conservadora,1587,57674.8,3.2042
Arbitraje agresivo,1587,-73245.12,-0.771
Servicios de regulacion,1587,-15258.15,-0.5449
Hibrido certificado,1587,-140639.06,-1.0046
Ventana conservadora,1588,32956.49,1.8309
Arbitraje agresivo,1588,-37825.04,-0.3982
Servicios de regulacion,1588,-17391.99,-0.6211
Hibrido certificado,1588,-106868.01,-0.7633
Ventana conservadora,1589,63364.19,3.5202
Arbitraje agresivo,1589,-59969.35,-0.6313
Servicios de regulacion,1589,-17714.86,-0.6327
Hibrido certificado,1589,-151763.05,-1.084
Ventana conservadora,1590,61177.12,3.3987
Arbitraje agresivo,1590,-34549.58,-0.3637
Servicios de regulacion,1590,-17896.73,-0.6392
Hibrido certificado,1590,-121627.12,-0.8688
Ventana conservadora,1591,81069.33,4.5039
Arbitraje agresivo,1591,14600.1,0.1537
Servicios de regulacion,1591,-12448.08,-0.4446
Hibrido certificado,1591,71163.45,0.5083
Ventana conservadora,1592,67292.32,3.7385
Arbitraje agresivo,1592,-36749.73,-0.3868
Servicios de regulacion,1592,-21702.6,-0.7751
Hibrido certificado,1592,-155056.69,-1.1075
Ventana conservadora,1593,78904.72,4.3836
Arbitraje agresivo,1593,2052.23,0.0216
Servicios de regulacion,1593,-16857.88,-0.6021
Hibrido certificado,1593,-99421.04,-0.7102
Ventana conservadora,1594,67129.24,3.7294
Arbitraje agresivo,1594,-34876.48,-0.3671
Servicios de regulacion,1594,-15840.7,-0.5657
Hibrido certificado,1594,-101380.79,-0.7241
Ventana conservadora,1595,51149.46,2.8416
Arbitraje agresivo,1595,-8118.64,-0.0855
Servicios de regulacion,1595,-18410.89,-0.6575
Hibrido certificado,1595,-86938.36,-0.621
Ventana conservadora,1596,70873.28,3.9374
Arbitraje agresivo,1596,-82049.25,-0.8637
Servicios de regulacion,1596,-12208.25,-0.436
Hibrido certificado,1596,-120672.26,-0.8619
Ventana conservadora,1597,38167.5,2.1204
Arbitraje agresivo,1597,-20099.51,-0.2116
Servicios de regulacion,1597,-16738.53,-0.5978
Hibrido certificado,1597,-125064.29,-0.8933
Ventana conservadora,1598,52624.69,2.9236
Arbitraje agresivo,1598,-51689.96,-0.5441
Servicios de regulacion,1598,-19182.83,-0.6851
Hibrido certificado,1598,-129923.38,-0.928
Ventana conservadora,1599,59693.74,3.3163
Arbitraje agresivo,1599,-85706.05,-0.9022
Servicios de regulacion,1599,-16519.39,-0.59
Hibrido certificado,1599,-90453.66,-0.6461
Ventana conservadora,1600,61777.62,3.4321
Arbitraje agresivo,1600,-77329.15,-0.814
Servicios de regulacion,1600,-24800.98,-0.8857
Hibrido certificado,1600,-117532.79,-0.8395
Ventana conservadora,1601,70888.01,3.9382
Arbitraje agresivo,1601,-16392.06,-0.1725
Servicios de regulacion,1601,-16368.8,-0.5846
Hibrido certificado,1601,-131121.8,-0.9366
Ventana conservadora,1602,52026.43,2.8904
Arbitraje agresivo,1602,-42689.19,-0.4494
Servicios de regulacion,1602,-21729.77,-0.7761
Hibrido certificado,1602,-134425.08,-0.9602
Ventana conservadora,1603,47487.73,2.6382
Arbitraje agresivo,1603,-25895.21,-0.2726
Servicios de regulacion,1603,-24407.53,-0.8717
Hibrido certificado,1603,-132160.44,-0.944
Ventana conservadora,1604,52246.42,2.9026
Arbitraje agresivo,1604,32994.7,0.3473
Servicios de regulacion,1604,-18360.52,-0.6557
Hibrido certificado,1604,-138477.72,-0.9891
Ventana conservadora,1605,43646.59,2.4248
Arbitraje agresivo,1605,-36652.62,-0.3858
Servicios de regulacion,1605,-15652.24,-0.559
Hibrido certificado,1605,-129596.33,-0.9257
Ventana conservadora,1606,55040.51,3.0578
Arbitraje agresivo,1606,-35988.39,-0.3788
Servicios de regulacion,1606,-16350.99,-0.584
Hibrido certificado,1606,-80566.46,-0.5755
Ventana conservadora,1607,61985.07,3.4436
Arbitraje agresivo,1607,-30014.75,-0.3159
Servicios de regulacion,1607,-17764.99,-0.6345
Hibrido certificado,1607,-96222.7,-0.6873
Ventana conservadora,1608,56666.04,3.1481
Arbitraje agresivo,1608,-22584.91,-0.2377
Servicios de regulacion,1608,-17332.59,-0.619
Hibrido certificado,1608,-98896.78,-0.7064
Ventana conservadora,1609,76999.77,4.2778
Arbitraje agresivo,1609,-52949.39,-0.5574
Servicios de regulacion,1609,-19775.2,-0.7063
Hibrido certificado,1609,-127390.19,-0.9099
Ventana conservadora,1610,66677.49,3.7043
Arbitraje agresivo,1610,-33953.87,-0.3574
Servicios de regulacion,1610,-25944.76,-0.9266
Hibrido certificado,1610,-82188.21,-0.5871
Ventana conservadora,1611,59670.61,3.315
Arbitraje agresivo,1611,-49362.11,-0.5196
Servicios de regulacion,1611,-28243.01,-1.0087
Hibrido certificado,1611,-119317.01,-0.8523
Ventana conservadora,1612,54700.23,3.0389
Arbitraje agresivo,1612,-48083.75,-0.5061
Servicios de regulacion,1612,-19623.52,-0.7008
Hibrido certificado,1612,-120343.64,-0.8596
Ventana conservadora,1613,48753.3,2.7085
Arbitraje agresivo,1613,-2685.57,-0.0283
Servicios de regulacion,1613,-21247.87,-0.7589
Hibrido certificado,1613,-157865.48,-1.1276
Ventana conservadora,1614,54232.3,3.0129
Arbitraje agresivo,1614,-22873.29,-0.2408
Servicios de regulacion,1614,-25270.96,-0.9025
Hibrido certificado,1614,-146735.11,-1.0481
Ventana conservadora,1615,65548.23,3.6416
Arbitraje agresivo,1615,14694.05,0.1547
Servicios de regulacion,1615,-20405.35,-0.7288
Hibrido certificado,1615,-54824.11,-0.3916
Ventana conservadora,1616,39841.04,2.2134
Arbitraje agresivo,1616,-75058.45,-0.7901
Servicios de regulacion,1616,-19599.23,-0.7
Hibrido certificado,1616,-110426.37,-0.7888
Ventana conservadora,1617,54908.99,3.0505
Arbitraje agresivo,1617,-57917.28,-0.6097
Servicios de regulacion,1617,-14827.13,-0.5295
Hibrido certificado,1617,-97733.14,-0.6981
Ventana conservadora,1618,61159.88,3.3978
Arbitraje agresivo,1618,8579.1,0.0903
Servicios de regulacion,1618,-14015.24,-0.5005
Hibrido certificado,1618,-58907.81,-0.4208
Ventana conservadora,1619,62804.49,3.4891
Arbitraje agresivo,1619,-10205.54,-0.1074
Servicios de regulacion,1619,-18298.59,-0.6535
Hibrido certificado,1619,-104872.47,-0.7491
Ventana conservadora,1620,67367.35,3.7426
Arbitraje agresivo,1620,-56655.82,-0.5964
Servicios de regulacion,1620,-22825.27,-0.8152
Hibrido certificado,1620,-118327.36,-0.8452
Ventana conservadora,1621,48639.76,2.7022
Arbitraje agresivo,1621,-43737.25,-0.4604
Servicios de regulacion,1621,-12051.04,-0.4304
Hibrido certificado,1621,-115023.75,-0.8216
Ventana conservadora,1622,69815.85,3.8787
Arbitraje agresivo,1622,-26012.17,-0.2738
Servicios de regulacion,1622,-20779.96,-0.7421
Hibrido certificado,1622,-110387.47,-0.7885
Ventana conservadora,1623,41336.43,2.2965
Arbitraje agresivo,1623,-30815.2,-0.3244
Servicios de regulacion,1623,-18712.95,-0.6683
Hibrido certificado,1623,-147990.03,-1.0571
Ventana conservadora,1624,60932.27,3.3851
Arbitraje agresivo,1624,-28740.1,-0.3025
Servicios de regulacion,1624,-21514.5,-0.7684
Hibrido certificado,1624,-105164.53,-0.7512
Ventana conservadora,1625,71469.91,3.9706
Arbitraje agresivo,1625,-49373.7,-0.5197
Servicios de regulacion,1625,-15238.23,-0.5442
Hibrido certificado,1625,-134335.14,-0.9595
Ventana conservadora,1626,42455.55,2.3586
Arbitraje agresivo,1626,-6098.14,-0.0642
Servicios de regulacion,1626,-27568.37,-0.9846
Hibrido certificado,1626,-98680.9,-0.7049
Ventana conservadora,1627,61432.72,3.4129
Arbitraje agresivo,1627,-47615.33,-0.5012
Servicios de regulacion,1627,-14459.65,-0.5164
Hibrido certificado,1627,-91974.92,-0.657
Ventana conservadora,1628,62501.32,3.4723
Arbitraje agresivo,1628,-84154.42,-0.8858
Servicios de regulacion,1628,-21444.31,-0.7659
Hibrido certificado,1628,-111581.96,-0.797
Ventana conservadora,1629,73584.9,4.0881
Arbitraje agresivo,1629,-12292.55,-0.1294
Servicios de regulacion,1629,-17197.03,-0.6142
Hibrido certificado,1629,-160152.69,-1.1439
Ventana conservadora,1630,57332.14,3.1851
Arbitraje agresivo,1630,-122197.21,-1.2863
Servicios de regulacion,1630,-20834.02,-0.7441
Hibrido certificado,1630,-133775.48,-0.9555
Ventana conservadora,1631,65576.73,3.6432
Arbitraje agresivo,1631,-54147.67,-0.57
Servicios de regulacion,1631,-18098.92,-0.6464
Hibrido certificado,1631,-113442.04,-0.8103
Ventana conservadora,1632,53968.97,2.9983
Arbitraje agresivo,1632,-13524.12,-0.1424
Servicios de regulacion,1632,-22287.65,-0.796
Hibrido certificado,1632,-108373.5,-0.7741
Ventana conservadora,1633,77064.24,4.2813
Arbitraje agresivo,1633,-60342.68,-0.6352
Servicios de regulacion,1633,-28005.62,-1.0002
Hibrido certificado,1633,-81190.29,-0.5799
Ventana conservadora,1634,55427.76,3.0793
Arbitraje agresivo,1634,-31825.68,-0.335
Servicios de regulacion,1634,-15008.36,-0.536
Hibrido certificado,1634,-145825.81,-1.0416
Ventana conservadora,1635,50146.39,2.7859
Arbitraje agresivo,1635,-54208.52,-0.5706
Servicios de regulacion,1635,-13224.29,-0.4723
Hibrido certificado,1635,-130820.64,-0.9344
Ventana conservadora,1636,75297.92,4.1832
Arbitraje agresivo,1636,-25769.15,-0.2713
Servicios de regulacion,1636,-19134.68,-0.6834
Hibrido certificado,1636,-151584.48,-1.0827
Ventana conservadora,1637,66681.98,3.7046
Arbitraje agresivo,1637,-62445.64,-0.6573
Servicios de regulacion,1637,-18285.05,-0.653
Hibrido certificado,1637,-158998.82,-1.1357
Ventana conservadora,1638,50106.5,2.7837
Arbitraje agresivo,1638,-36503.31,-0.3842
Servicios de regulacion,1638,-30842.07,-1.1015
Hibrido certificado,1638,-127551.95,-0.9111
Ventana conservadora,1639,55966.56,3.1093
Arbitraje agresivo,1639,-43221.9,-0.455
Servicios de regulacion,1639,-25184.79,-0.8995
Hibrido certificado,1639,-152628.29,-1.0902
Ventana conservadora,1640,61732.61,3.4296
Arbitraje agresivo,1640,-33046.18,-0.3479
Servicios de regulacion,1640,-22779.83,-0.8136
Hibrido certificado,1640,-130229.65,-0.9302
Ventana conservadora,1641,60155.8,3.342
Arbitraje agresivo,1641,-27783.24,-0.2925
Servicios de regulacion,1641,-17391.18,-0.6211
Hibrido certificado,1641,-153342.1,-1.0953
Ventana conservadora,1642,66819.54,3.7122
Arbitraje agresivo,1642,-33125.21,-0.3487
Servicios de regulacion,1642,-18132.05,-0.6476
Hibrido certificado,1642,-155880.06,-1.1134
Ventana conservadora,1643,49306.3,2.7392
Arbitraje agresivo,1643,-23081.35,-0.243
Servicios de regulacion,1643,-11664.24,-0.4166
Hibrido certificado,1643,-116010.22,-0.8286
Ventana conservadora,1644,53298.38,2.961
Arbitraje agresivo,1644,-13662.97,-0.1438
Servicios de regulacion,1644,-19537.78,-0.6978
Hibrido certificado,1644,-108855.11,-0.7775
Ventana conservadora,1645,50926.47,2.8292
Arbitraje agresivo,1645,-9616.45,-0.1012
Servicios de regulacion,1645,-16797.97,-0.5999
Hibrido certificado,1645,-140833.98,-1.006
Ventana conservadora,1646,48999.05,2.7222
Arbitraje agresivo,1646,-84157.47,-0.8859
Servicios de regulacion,1646,-19944.03,-0.7123
Hibrido certificado,1646,-151408.24,-1.0815
Ventana conservadora,1647,48912.96,2.7174
Arbitraje agresivo,1647,37129.28,0.3908
Servicios de regulacion,1647,-21041.84,-0.7515
Hibrido certificado,1647,-49241.68,-0.3517
Ventana conservadora,1648,50784.62,2.8214
Arbitraje agresivo,1648,5128.7,0.054
Servicios de regulacion,1648,-19571.14,-0.699
Hibrido certificado,1648,-88282.97,-0.6306
Ventana conservadora,1649,82528.69,4.5849
Arbitraje agresivo,1649,-39036.91,-0.4109
Servicios de regulacion,1649,-22661.23,-0.8093
Hibrido certificado,1649,-104115.75,-0.7437
Ventana conservadora,1650,57004.53,3.1669
Arbitraje agresivo,1650,-44254.34,-0.4658
Servicios de regulacion,1650,-14039.89,-0.5014
Hibrido certificado,1650,-73939.81,-0.5281
Ventana conservadora,1651,62775.67,3.4875
Arbitraje agresivo,1651,11657.03,0.1227
Servicios de regulacion,1651,-22012.25,-0.7862
Hibrido certificado,1651,-110415.07,-0.7887
Ventana conservadora,1652,57970.75,3.2206
Arbitraje agresivo,1652,-77717.8,-0.8181
Servicios de regulacion,1652,-18320.23,-0.6543
Hibrido certificado,1652,8536.14,0.061
Ventana conservadora,1653,63044.56,3.5025
Arbitraje agresivo,1653,-30735.9,-0.3235
Servicios de regulacion,1653,-19295.58,-0.6891
Hibrido certificado,1653,-128273.93,-0.9162
Ventana conservadora,1654,61631.03,3.4239
Arbitraje agresivo,1654,-44644.7,-0.4699
Servicios de regulacion,1654,-17934.1,-0.6405
Hibrido certificado,1654,-127137.08,-0.9081
Ventana conservadora,1655,55438.57,3.0799
Arbitraje agresivo,1655,-33514.46,-0.3528
Servicios de regulacion,1655,-21282.28,-0.7601
Hibrido certificado,1655,-120694.19,-0.8621
Ventana conservadora,1656,58210.61,3.2339
Arbitraje agresivo,1656,-36285.41,-0.382
Servicios de regulacion,1656,-21038.71,-0.7514
Hibrido certificado,1656,-125884.59,-0.8992
Ventana conservadora,1657,40754.7,2.2642
Arbitraje agresivo,1657,-47488.15,-0.4999
Servicios de regulacion,1657,-20572.73,-0.7347
Hibrido certificado,1657,-146723.65,-1.048
Ventana conservadora,1658,58625.57,3.257
Arbitraje agresivo,1658,-55678.31,-0.5861
Servicios de regulacion,1658,-18233.65,-0.6512
Hibrido certificado,1658,-103154.71,-0.7368
Ventana conservadora,1659,62629.08,3.4794
Arbitraje agresivo,1659,-99090.25,-1.0431
Servicios de regulacion,1659,-24285.2,-0.8673
Hibrido certificado,1659,-129493.62,-0.925
Ventana conservadora,1660,66347.36,3.686
Arbitraje agresivo,1660,10862.78,0.1143
Servicios de regulacion,1660,-12248.36,-0.4374
Hibrido certificado,1660,-91421.69,-0.653
Ventana conservadora,1661,62104.7,3.4503
Arbitraje agresivo,1661,-4953.41,-0.0521
Servicios de regulacion,1661,-22562.11,-0.8058
Hibrido certificado,1661,-161273.05,-1.152
Ventana conservadora,1662,56747.26,3.1526
Arbitraje agresivo,1662,-21059.38,-0.2217
Servicios de regulacion,1662,-21286.71,-0.7602
Hibrido certificado,1662,-136963.55,-0.9783
Ventana conservadora,1663,68449.37,3.8027
Arbitraje agresivo,1663,-1765.64,-0.0186
Servicios de regulacion,1663,-17268.13,-0.6167
Hibrido certificado,1663,-112959.54,-0.8069
Ventana conservadora,1664,55053.04,3.0585
Arbitraje agresivo,1664,10253.87,0.1079
Servicios de regulacion,1664,-18331.34,-0.6547
Hibrido certificado,1664,-130571.87,-0.9327
Ventana conservadora,1665,54984.98,3.0547
Arbitraje agresivo,1665,-57826.43,-0.6087
Servicios de regulacion,1665,-18298.85,-0.6535
Hibrido certificado,1665,-93285.74,-0.6663
Ventana conservadora,1666,50996.8,2.8332
Arbitraje agresivo,1666,-57994.78,-0.6105
Servicios de regulacion,1666,-18565.77,-0.6631
Hibrido certificado,1666,-155655.17,-1.1118
Ventana conservadora,1667,51107.39,2.8393
Arbitraje agresivo,1667,-39304.31,-0.4137
Servicios de regulacion,1667,-21837.33,-0.7799
Hibrido certificado,1667,-119134.54,-0.851
Ventana conservadora,1668,67299.26,3.7388
Arbitraje agresivo,1668,52047.51,0.5479
Servicios de regulacion,1668,-25793.45,-0.9212
Hibrido certificado,1668,-171741.68,-1.2267
Ventana conservadora,1669,60778.79,3.3766
Arbitraje agresivo,1669,-41897.07,-0.441
Servicios de regulacion,1669,-21410.26,-0.7647
Hibrido certificado,1669,-103538.72,-0.7396
Ventana conservadora,1670,56979.75,3.1655
Arbitraje agresivo,1670,47321.68,0.4981
Servicios de regulacion,1670,-21502.11,-0.7679
Hibrido certificado,1670,35224.02,0.2516
Ventana conservadora,1671,59248.92,3.2916
Arbitraje agresivo,1671,-43885.93,-0.462
Servicios de regulacion,1671,-14900.2,-0.5321
Hibrido certificado,1671,-112537.05,-0.8038
Ventana conservadora,1672,49218.09,2.7343
Arbitraje agresivo,1672,-44589.42,-0.4694
Servicios de regulacion,1672,-15894.36,-0.5677
Hibrido certificado,1672,-90983.54,-0.6499
Ventana conservadora,1673,53031.33,2.9462
Arbitraje agresivo,1673,-15788.24,-0.1662
Servicios de regulacion,1673,-23475.78,-0.8384
